tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
4011,11:27.9,18:19.8,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,41353,Subscriber,1981,1,3/1/2020,3/1/2020
1299,12:36.4,34:15.9,3905,4 Ave & E 12 St,40.732647,-73.99011,525,W 34 St & 11 Ave,40.75594159,-74.0021163,28076,Customer,1969,0,3/1/2020,3/1/2020
303,13:14.3,18:17.9,173,Broadway & W 49 St,40.76068327,-73.98452729,492,W 33 St & 7 Ave,40.75019995,-73.99093085,37137,Subscriber,1990,1,3/1/2020,3/1/2020
1000,15:27.3,32:08.0,3686,Gansevoort St & Hudson St,40.7394482,-74.00507033,268,Howard St & Centre St,40.71910537,-73.99973337,39515,Subscriber,1991,2,3/1/2020,3/1/2020
740,17:49.2,30:09.7,519,Pershing Square North,40.751873,-73.977706,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,38734,Subscriber,1984,2,3/1/2020,3/1/2020
393,20:01.4,26:35.1,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,33251,Subscriber,1987,1,3/1/2020,3/1/2020
1732,20:41.9,49:34.5,3733,Avenue C & E 18 St,40.730563,-73.973984,525,W 34 St & 11 Ave,40.75594159,-74.0021163,42560,Subscriber,1991,1,3/1/2020,3/1/2020
243,21:44.2,25:47.9,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,18929,Subscriber,1967,2,3/1/2020,3/1/2020
438,26:21.5,33:39.7,3746,6 Ave & Broome St,40.72430832,-74.00473036,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,40320,Subscriber,1996,1,3/1/2020,3/1/2020
724,28:31.1,40:36.0,173,Broadway & W 49 St,40.76068327,-73.98452729,464,E 56 St & 3 Ave,40.75934501,-73.96759673,19271,Subscriber,1992,2,3/1/2020,3/1/2020
518,28:57.6,37:36.1,518,E 39 St & 2 Ave,40.74780373,-73.9734419,3142,1 Ave & E 62 St,40.7612274,-73.96094022,36139,Subscriber,1967,1,3/1/2020,3/1/2020
310,28:58.6,34:08.9,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,3856,Kingsland Ave & Nassau Ave,40.72577,-73.94173,40741,Subscriber,1977,2,3/1/2020,3/1/2020
